Date,M0,M2,M1,M2B,
Jan-96,77071,228090,73783,260481,
Feb-96,79586,234199,77440,269496,
Mar-96,82915,239178,81796,272552,
Apr-96,80873,241893,79478,278425,
May-96,83410,242072,76620,277365,
Jun-96,79834,240407,75956,272313,
Jul-96,80732,240083,76200,271915,
Aug-96,81756,240097,76185,272932,
Sep-96,81614,241700,76634,275074,
Oct-96,77209,242845,74004,275751,
Nov-96,81826,245227,75276,279260,
Dec-96,85509,253201,78203,288657,
Jan-97,81076,253157,77889,288640,
Feb-97,81795,254967,77597,291487,
Mar-97,71828,260657,80828,296908,
Apr-97,77056,261357,80582,297972,
May-97,80255,262189,80240,299265,
Jun-97,78342,265104,79670,302031,
Jul-97,76110,267601,79535,307086,
Aug-97,79612,271989,81068,311192,
Sep-97,80221,276994,82287,317668,
Oct-97,81932,279577,83300,322404,
Nov-97,80359,281697,82708,323583,
Dec-97,83736,288258,85851,333668,
Jan-98,82146,289017,85527,335827,
Feb-98,84633,291450,87262,338718,
Mar-98,88608,297205,92195,343609,
Apr-98,86493,297152,90436,346676,
May-98,88794,298472,91176,349938,
Jun-98,85297,296943,90126,348566,
Jul-98,88266,298677,92264,349416,
Aug-98,88242,296505,91389,349499,
Sep-98,89761,301678,93463,355707,
Oct-98,88164,303514,92240,362633,
Nov-98,89287,306637,92975,366114,
Dec-98,92866,316174,96268,377740,
Jan-99,91959,317257,96525,380300,
Feb-99,94074,319410,97691,383478,
Mar-99,98074,324606,102616,390991,
Apr-99,96837,326329,103001,392015,
May-99,96809,327371,102311,397191,
Jun-99,93446,327709,99891,397566,
Jul-99,93498,330177,99941,402316,
Aug-99,94756,331125,99590,401415,
Sep-99,93053,337568,102070,408340,
Oct-99,94775,341900,100831,412128,
Nov-99,94799,350033,103749,419280,
Dec-99,100444,358076,108554,428319,
Jan-00,100639,359623,107630,432181,
Feb-00,98687,361256,106723,433556,
Mar-00,102943,366263,109780,441841,
Apr-00,102623,369479,109871,439970,
May-00,101353,365197,106417,435694,
Jun-00,101524,370625,108760,442827,
Jul-00,100403,373504,107910,445989,
Aug-00,94487,376499,108968,451219,
Sep-00,100936,383562,111689,457595,
Oct-00,101089,388701,112639,463256,
Nov-00,98875,387452,108961,465737,
Dec-00,105163,404669,118477,483421,
Jan-01,103452,398998,111712,486570,
Feb-01,101573,400994,111678,488924,
Mar-01,106331,403946,113931,493668,
Apr-01,104586,407081,114207,498984,
May-01,103145,406112,110163,498291,
Jun-01,103444,405506,108528,495731,
Jul-01,104408,410081,109097,502417,
Aug-01,104643,413279,109703,509820,
Sep-01,106927,421417,112095,515945,
Oct-01,105047,426318,111444,520332,
Nov-01,106713,435733,117102,532857,
Dec-01,112522,450726,122210,549138,
Jan-02,111022,451700,120103,550197,
Feb-02,108538,457016,121260,558563,
Mar-02,116958,466120,125695,570245,
Apr-02,118017,468666,124194,575041,
May-02,116343,470681,125987,577057,
Jun-02,118700,476295,125509,584335,
Jul-02,119940,481908,127946,589926,
Aug-02,120214,485384,129052,596324,
Sep-02,121716,488941,129430,601471,
Oct-02,120236,493671,129230,605384,
Nov-02,123286,499616,131785,614141,
Dec-02,126411,510395,139361,622495,
Jan-03,123527,512993,136034,629493,
Feb-03,127140,518190,137838,635737,
Mar-03,131778,524675,141204,643063,
Apr-03,128642,530354,143165,648591,
May-03,132421,532806,144004,651250,
Jun-03,130725,532767,142210,655004,
Jul-03,131026,539612,144341,660456,
Aug-03,135246,545485,149454,668743,
Sep-03,134600,555818,155687,678893,
Oct-03,137727,557139,151717,686860,
Nov-03,140990,568711,157420,700234,
Dec-03,141447,580747,161635,717855,
Jan-04,145881,588054,163127,724300,
Feb-04,146768,594925,166576,735103,
Mar-04,158659,606390,171889,746085,
Apr-04,153084,608238,169494,749310,
May-04,152185,613308,171846,754995,
Jun-04,151130,615485,169771,759795,
Jul-04,156319,624525,171918,776843,
Aug-04,155850,632862,173459,786021,
Sep-04,158241,645181,178058,801588,
Oct-04,161806,656918,175828,813574,
Nov-04,163922,672063,181761,834682,
Dec-04,170967,687964,188453,858644,
Jan-05,174648,701947,198719,867385,
Feb-05,174666,707352,198602,878200,
Mar-05,190755,721095,208095,891661,
Apr-05,181861,728312,207464,904952,
May-05,179195,729253,205017,901667,
Jun-05,179817,738411,208344,913159,
Jul-05,184647,749606,215078,928304,
Aug-05,184289,757307,212080,945538,
Sep-05,187894,775449,215253,959112,
Oct-05,191179,799305,224454,988773,
Nov-05,190969,812386,225571,1006356,
Dec-05,197932,822932,230701,1022277,
Jan-06,196864,834273,230043,1040545,
Feb-06,203030,849000,231308,1058934,
Mar-06,217168,862733,234175,1069380,
Apr-06,216094,878328,237973,1084657,
May-06,212027,876163,234021,1080177,
Jun-06,212419,887779,238143,1084834,
Jul-06,214845,895242,236884,1095047,
Aug-06,213895,906553,238622,1097188,
Sep-06,222140,919004,239524,1116228,
Oct-06,225513,952858,246313,1155303,
Nov-06,226627,968096,243016,1176370,
Dec-06,239863,993265,259685,1204550,
Jan-07,236782,996575,255347,1208103,
Feb-07,237920,1013891,259916,1234791,
Mar-07,252954,1032542,266769,1258542,
Apr-07,249337,1046388,264522,1266404,
May-07,246220,1050538,266944,1282269,
Jun-07,247846,1063012,259401,1294024,
Jul-07,247209,1068052,255239,1313001,
Aug-07,257064,1085288,261179,1340747,
Sep-07,256715,1097655,259971,1357400,
Oct-07,256519,1106357,254001,1357388,
Nov-07,264080,1132313,257159,1389855,
Dec-07,264419,1147742,266592,1404019,
Jan-08,260424,1144361,258270,1398625,
Feb-08,273009,1155185,266022,1406964,
Mar-08,276346,1188569,285805,1430467,
Apr-08,280201,1192361,272943,1455872,
May-08,277576,1187327,268166,1450693,
Jun-08,271212,1201992,273683,1470466,
Jul-08,281292,1220612,269278,1485699,
Aug-08,282576,1229068,270947,1478812,
Sep-08,280215,1248642,275192,1501518,
Oct-08,276103,1249205,266617,1489810,
Nov-08,253569,1253312,262239,1491131,
Dec-08,268425,1282194,277323,1522776,
Jan-09,263770,1288163,265615,1528254,
Feb-09,258097,1304602,265636,1546513,
Mar-09,266351,1324704,272881,1581580,
Apr-09,261177,1343535,270623,1605135,
May-09,268603,1360260,271730,1624257,
Jun-09,262561,1380978,268943,1645776,
Jul-09,275591,1411698,277090,1683066,
Aug-09,276597,1435550,285505,1702948,
Sep-09,274521,1461339,293275,1736020,
Oct-09,288830,1461345,294542,1755399,
Nov-09,288164,1497004,313531,1770460,
Dec-09,303537,1536755,336710,1806169,
Jan-10,309190,1551744,339755,1800606,
Feb-10,310809,1565387,340896,1814776,
Mar-10,328853,1600964,362752,1851671,
Apr-10,325005,1603310,351920,1868862,
May-10,330608,1622304,354591,1875268,
Jun-10,322907,1637897,348404,1881430,
Jul-10,331813,1650967,351176,1916382,
Aug-10,336798,1679210,361269,1939710,
Sep-10,338471,1718989,373834,1971923,
Oct-10,348435,1742357,380159,2007827,
Nov-10,344091,1763574,380660,2022307,
Dec-10,360511,1813000,407192,2091408,
Jan-11,362886,1832034,407798,2101055,
Feb-11,366084,1863092,415112,2136097,
Mar-11,382140,1899804,419143,2176199,
Apr-11,405455,1935747,423523,2212071,
May-11,400029,1957064,423226,2239036,
Jun-11,397194,1992455,420954,2270914,
Jul-11,413172,2025945,432965,2312285,
Aug-11,419937,2059413,436471,2339670,
Sep-11,422278,2091127,435365,2379865,
Oct-11,425459,2116658,434111,2404952,
Nov-11,420345,2139728,424687,2438668,
Dec-11,439504,2192603,438707,2491740,
Jan-12,434899,2216986,431680,2523084,
Feb-12,439407,2270720,436838,2604656,
Mar-12,471146,2321171,448621,2672827,
Apr-12,449307,2353485,444198,2719167,
May-12,449479,2351370,434873,2707159,
Jun-12,457526,2381343,432780,2737070,
Jul-12,463413,2410233,437864,2770897,
Aug-12,472950,2439377,438965,2813409,
Sep-12,473142,2455010,439753,2828651,
Oct-12,471116,2463316,425438,2842562,
Nov-12,476891,2529842,430017,2880657,
Dec-12,484362,2593185,450049,2929070,
Jan-13,484096,2627394,440600,2984632,
Feb-13,486728,2688229,447402,3048074,
Mar-13,512396,2749442,465413,3089746,
Apr-13,500288,2788337,453085,3132660,
May-13,507211,2799417,442608,3147469,
Jun-13,500301,2843835,444043,3169810,
Jul-13,456106,2875610,444753,3225521,
Aug-13,466584,2883490,453092,3244571,
Sep-13,465743,2937208,459839,3289132,
Oct-13,466852,3002427,481314,3362501,
Nov-13,471997,2997741,454372,3363136,
Dec-13,488586,3058793,484578,3417853,
Jan-14,485180,3094570,480883,3460812,
Feb-14,494615,3120241,491639,3495406,
Mar-14,521552,3165810,511410,3538065,
Apr-14,515339,3175119,507396,3546481,
May-14,499499,3178773,503931,3555525,
Jun-14,507667,3214316,519222,3592830,
Jul-14,524506,3230604,522223,3608028,
Aug-14,532055,3259844,540676,3642182,
Sep-14,536888,3316760,539970,3709641,
Oct-14,547674,3351268,546483,3747631,
Nov-14,551850,3398549,568263,3794824,
Dec-14,577912,3460558,612155,3875853,
Jan-15,576105,3467556,597195,3896007,
Feb-15,582954,3492559,596678,3926630,
Mar-15,619561,3553629,633325,3980651,
Apr-15,612655,3593405,630298,4038160,
May-15,589812,3641271,630804,4102788,
Jun-15,608045,3677478,629401,4141101,
Jul-15,630332,3732238,642058,4193878,
Aug-15,637227,3783870,649993,4252507,
Sep-15,640491,3821803,660445,4305003,
Oct-15(f),644414,3877680,665082,4384849,
Nov-15,651125,3945726,669427,4447629,
Dec-15,673432,4057212,714988,4565917,
Jan-16,718561,4102952,692391,4638282,
Feb-16,739336,4158410,700535,4703819,
Mar-16,791618,4206399,729606,4731636,
Apr-16,763102,4242061,715548,4772124,
May-16,733268,4241083,701828,4781197,
Jun-16,757159,4310482,705622,4843739,
Jul-16,774496,4394705,716583,4940432,
Aug-16,785691,4434839,714183,4988563,
Sep-16,793736,4551940,729323,5096238,
Oct-16,792756,4616764,727626,5165733,
Nov-16,798968,4683235,720203,5246721,
Dec-16,856147,4823559,776624,5405596,
Jan-17,828469,4866011,742851,5460428,
Feb-17,847628,4951313,744595,5551956,
Mar-17,892164,5096203,782025,5677402,
Apr-17,885560,5146804,765196,5730774,
May-17,859794,5214381,741781,5803167,
Jun-17,891639,5281417,753890,5872507,
Jul-17,894630,5367003,768428,5986619,
Aug-17,911389,5423037,759137,6050583,
Sep-17,909006,5503149,754618,6132134,
Oct-17,915381,5532506,743190,6159242,
Nov-17,911617,5549947,751291,6183942,
Dec-17,939793,5665313,793299,6308062,
Jan-18,929983,5739014,773416,6378367,
Feb-18,938134,5826696,770845,6450503,
Mar-18,997245,5995489,841180,6606647,
Apr-18,1000061,6043712,812548,6691730,
May-18,973369,6047725,790967,6670948,
Jun-18,998632,6120848,804512,6747648,
Jul-18,1001384,6160766,791771,6795382,
Aug-18,1004713,6243719,791554,6866413,
Sep-18,1010542,6284451,808988,6933397,
Oct-18,998428,6325970,782659,6988372,
Nov-18,941607,6355317,788820,7042629,
Dec-18,961096,6427330,830793,7128297,
Jan-19,949129,6419135,800491,7110926,
Feb-19,963038,6470529,806115,7188598,
Mar-19,962938,6550042,853568,7253305,
Apr-19,924229,6585519,828317,7295456,
May-19,849420,6621380,802208,7294763,
Jun-19,874533,6661231,803325,7337767,
Jul-19,888419,6697443,798746,7355431,
Aug-19,913418,6733743,818128,7396866,
Sep-19,914667,6761262,843070,7443491,
Oct-19,908358,6743725,810596,7456332,
Nov-19,918913,6790393,817647,7472812,
Dec-19,932604,6912710,865467,7624121,
Jan-20,935558,7001066,859032,7703776,
Feb-20,963283,7081611,866199,7793001,
Mar-20,1013797,7335948,964756,8098249,
Apr-20,1021589,7466098,992502,8258997,
May-20,996539,7523814,991778,8293120,
Jun-20,868953,7604127,1001851,8364748,
Jul-20,878832,7717772,1024589,8507393,
Aug-20,879828,7858436,1058461,8692021,
Sep-20,891389,8027070,1057364,8870430,
Oct-20,928388,8166461,1085734,9017480,
Nov-20,936257,8264614,1094981,9135635,
Dec-20,964440,8495788,1177150,9405734,
Jan-21,975897,8600019,1183134,9532697,
Feb-21,978090,8706198,1199944,9650906,
Mar-21,1028599,8860584,1232814,9838637,
Apr-21,1031144,8944644,1244200,9947334,
May-21,1036010,9016772,1246551,10032973,
Jun-21,1065064,9136220,1293330,10164763,
Jul-21,1063866,9269581,1316960,10303589,
Aug-21,1089266,9412401,1355196,10513644,
Sep-21,1295956,9448987,1318748,10488100,
Oct-21,1286441,9535950,1372671,10581730,
Nov-21,1287803,9510655,1355117,10545785,
Dec-21,1305809,9638905,1459895,10647309,
Jan-22,1337489,9650968,1500352,10667726,
Feb-22,1324234,9735818,1507095,10755111,s
Mar-22 (g),1386700,10073392,1589614,11575559,
Apr-22 (g),1481805,10193426,1635133,11940608,
May-22 (g),1414850,10117497,1603916,11896969,
Jun-22,1452596,10143626,1545475,11901351,
Jul-22,1436448,10253559,1564877,11955344,
Aug-22,1386248,10285938,1534114,11986911,
Sep-22,1378579,10351444,1528595,12051480,
Oct-22 (h),1341681,10338384,1456688,12045719,
Nov-22,1318493,10416961,1457977,12162934,
Dec-22,1349389,10497052,1453597,12289637,
